代码,名称,收盘价,市盈率,市净率,净资产收益率,总股本,流通股本,上市时间
300406.XSHE,九强生物,44.38,1651,1651,1651,249837313,102663286,2014-10-30
300407.XSHE,凯发电气,30.35,1652,1652,1652,136000000,62065090,2014-12-03
300408.XSHE,三环集团,35.02,1653,1653,1653,863818000,486061865,2014-12-03
300409.XSHE,道氏技术,63.16,1654,1654,1654,107500000,44231250,2014-12-03
300410.XSHE,正业科技,0,1655,1655,1655,159545000,48749998,2014-12-31
300411.XSHE,金盾股份,31.44,1656,1656,1656,160000000,60664000,2014-12-31
300412.XSHE,迦南科技,30.68,1657,1657,1657,117480000,38610000,2014-12-31
300413.XSHE,快乐购,29.88,1658,1658,1658,401000000,198678568,2015-01-21
300414.XSHE,中光防雷,32.45,1659,1659,1659,168530000,42140000,2015-05-13
300415.XSHE,伊之密,15.4,1660,1660,1660,240000000,159000000,2015-01-23
300416.XSHE,苏试试验,60.95,1661,1661,1661,62800000,30460000,2015-01-22
300417.XSHE,南华仪器,73.8,1662,1662,1662,40800000,13794625,2015-01-23
300418.XSHE,昆仑万维,33.74,1663,1663,1663,1127230993,415325337,2015-01-21
300419.XSHE,浩丰科技,162,1664,1664,1664,47430727,21479846,2015-01-22
300420.XSHE,五洋科技,44.53,1665,1665,1665,90784308,29350680,2015-02-17
300421.XSHE,力星股份,30.07,1666,1666,1666,112000000,42000000,2015-02-17
300422.XSHE,博世科,32.12,1667,1667,1667,127285000,69313900,2015-02-17
300423.XSHE,鲁亿通,0,1668,1668,1668,88000000,36930785,2015-02-17
300424.XSHE,航新科技,59.08,1669,1669,1669,133070000,33270000,2015-04-22
300425.XSHE,环能科技,0,1670,1670,1670,176621269,39600000,2015-02-16
300426.XSHE,唐德影视,65.72,1671,1671,1671,160000000,52101666,2015-02-17
300427.XSHE,红相电力,59.21,1672,1672,1672,88670000,27477684,2015-02-17
300428.XSHE,四通新材,0,1673,1673,1673,80800000,20200000,2015-03-19
300429.XSHE,强力新材,82.29,1674,1674,1674,79800000,20000000,2015-03-24
300430.XSHE,诚益通,0,1675,1675,1675,97280000,24320000,2015-03-19
300431.XSHE,暴风科技,0,1676,1676,1676,274827587,66000000,2015-03-24
300432.XSHE,富临精工,0,1677,1677,1677,360000000,90000000,2015-03-19
300433.XSHE,蓝思科技,0,1678,1678,1678,673360000,68525000,2015-03-18
300434.XSHE,金石东方,53.37,1679,1679,1679,68000000,17000000,2015-04-24
300435.XSHE,中泰股份,65.82,1680,1680,1680,81600000,19999500,2015-03-26
300436.XSHE,广生堂,0,1681,1681,1681,140000000,28000000,2015-04-22
300437.XSHE,清水源,0,1682,1682,1682,66700000,16675000,2015-04-23
300438.XSHE,鹏辉能源,96.88,1683,1683,1683,84000000,21000000,2015-04-24
300439.XSHE,美康生物,29.24,1684,1684,1684,340020000,85020000,2015-04-22
300440.XSHE,运达科技,68.3,1685,1685,1685,112000000,28000000,2015-04-23
300441.XSHE,鲍斯股份,39.12,1686,1686,1686,168960000,42240000,2015-04-23
300442.XSHE,普丽盛,47,1687,1687,1687,100000000,24999500,2015-04-24
300443.XSHE,金雷风电,171.13,1688,1688,1688,56260000,11260000,2015-04-22
300444.XSHE,双杰电气,21.7,1689,1689,1689,283391200,68972800,2015-04-23
