代码,名称,收盘价,净值,总股本,流通股本,上市时间
150300.XSHE,银行股B,0.503,0.4976,333464911,0,2015-06-18
150301.XSHE,证券股A,1.044,1.0148,58100168,0,2015-06-18
150302.XSHE,证券股B,1.319,1.2956,58100168,0,2015-06-18
150303.XSHE,创业股A,1.029,1.0127,250631036,0,2015-07-15
150304.XSHE,创业股B,0.818,0.7759,250631036,0,2015-07-15
150305.XSHE,养老A,0.974,1.0120,41502048,0,2015-07-10
150306.XSHE,养老B,0.679,0.5720,41502048,0,2015-07-10
150307.XSHE,体育A,0.976,1.0140,56024466,0,2015-07-06
150308.XSHE,体育B,0.687,0.6300,56024466,0,2015-07-06
150309.XSHE,信息安A,0.977,1.0130,15045448,0,2015-07-15
150310.XSHE,信息安B,1.024,0.9510,15045448,0,2015-07-15
150311.XSHE,智能A,0.975,1.0130,19637470,0,2015-07-15
150312.XSHE,智能B,1.140,0.9810,19637470,0,2015-07-15
150315.XSHE,工业4A,0.978,1.0140,183706643,0,2015-06-25
150316.XSHE,工业4B,1.023,0.9360,183706644,0,2015-06-25
150317.XSHE,E金融A,1.061,1.0080,12078843,0,2015-07-08
150318.XSHE,E金融B,1.275,1.2800,12078843,0,2015-07-08
150321.XSHE,煤炭A基,1.182,1.0190,126054563,0,2015-06-30
150322.XSHE,煤炭B基,0.888,1.0390,126054563,0,2015-06-30
150323.XSHE,环保A端,1.018,1.0117,39576921,0,2015-07-27
150324.XSHE,环保B端,0.517,0.4816,39576922,0,2015-07-27
150325.XSHE,高铁A端,1.062,1.0083,21668177,0,2015-08-05
150326.XSHE,高铁B端,1.065,1.1284,21668177,0,2015-08-05
150327.XSHE,新能A级,1.051,1.0080,10540000,0,2015-08-03
150328.XSHE,新能B级,1.225,1.2671,10540000,0,2015-08-03
150329.XSHE,保险A,0.974,1.0120,120904810,0,2015-08-11
150330.XSHE,保险B,0.887,0.8290,120904811,0,2015-08-11
150331.XSHE,网金融A,1.091,1.0185,28614016,0,2015-08-10
150332.XSHE,网金融B,0.697,0.6923,28614016,0,2015-08-10
150335.XSHE,军工股A,1.021,1.0150,101527087,0,2015-07-13
150336.XSHE,军工股B,0.747,0.7070,101527087,0,2015-07-13
150343.XSHE,证券A基,1.063,1.0030,131769097,0,2015-08-03
150344.XSHE,证券B基,1.367,1.3750,131769097,0,2015-08-03
159001.XSHE,保证金,100.001,100.0000,10083776,0,2014-10-20
159003.XSHE,招商快线,100.002,100.0000,31345072,0,2014-10-20
159005.XSHE,添富快钱,100.000,100.0000,4000819,0,2015-01-13
159901.XSHE,深100ETF,3.907,3.9361,1308167465,0,2006-04-24
159902.XSHE,中 小 板,3.230,3.1890,752426849,0,2006-09-05
159903.XSHE,深成ETF,1.096,1.0976,496154507,0,2010-02-02
159905.XSHE,深红利,1.074,1.1070,178443951,0,2011-01-11
159906.XSHE,深成长,0.969,0.9890,194639725,0,2011-02-23
159907.XSHE,中小300,1.389,1.3994,190098847,0,2011-08-10
159908.XSHE,深F200,1.155,1.1271,34229029,0,2011-07-13
159909.XSHE,深TMT,5.278,4.9640,15771449,0,2011-09-01
159910.XSHE,深F120,1.255,1.2714,61906143,0,2011-09-27
159911.XSHE,民营ETF,4.130,4.2254,14272540,0,2011-10-14
159912.XSHE,深300ETF,1.256,1.2859,57548991,0,2011-11-24
159913.XSHE,深价值,1.321,1.3450,33329693,0,2011-10-25
159915.XSHE,创业板,2.148,2.1115,3373454936,0,2011-12-09
159916.XSHE,深F60,2.375,2.4550,36566039,0,2011-10-24
159918.XSHE,中创400,2.020,2.0261,78561264,0,2012-05-11
159919.XSHE,300ETF,3.378,3.4065,5452306477,0,2012-05-28
159920.XSHE,恒生ETF,1.039,1.0474,741559219,0,2012-10-22
159921.XSHE,中小等权,1.572,1.5820,17305171,0,2013-01-31
159922.XSHE,500ETF,5.994,5.9982,126431868,0,2013-03-15
159923.XSHE,100ETF,1.194,1.2140,41285812,0,2013-03-05
159924.XSHE,300等权,1.317,1.3480,54515929,0,2013-06-05
159925.XSHE,南方300,1.260,1.2793,831199451,0,2013-04-11
159926.XSHE,国债ETF,111.994,110.1850,3792698,0,2013-08-05
159927.XSHE,A300ETF,3.177,3.2223,8192168,0,2013-08-16
159928.XSHE,消费ETF,1.270,1.2815,842657260,0,2013-09-16
159929.XSHE,医药ETF,1.305,1.3189,83704203,0,2013-09-16
159930.XSHE,能源ETF,0.784,0.7897,11398150,0,2013-09-16
